tweet_id,text,sentiment,my_emotion
16164,# WomenOfCourage Good morning Sohne pyare Rabb @ Gurmeetramrahim sai ji DhanDhan Satguru tera hi aasra 🙏 Bless me p … https // t . co / MoOA6PcdFF,neutral,trust
22511,No doubt .. Muhammad Ilyas qadri sahab ne lakho logo ko gunaho ke daldal se Nikal ker neki ki dawat ki taraf laga hai ..!! # HBilyasqadri,positive,trust
8719,Thank you my dear AIB ...🎼 For every funny video that you made ...🎼 For each & every smile on my face ...🎼 the new … https // t . co / oAwQZErpaT,positive,joy
28863,@ anjanaomkashyap Ujjawala yojna sabse jyda effective raha kyonki maximum ladies ne bjp ko vote diya h,negative,trust
20551,@ mlkhattar That is why we love you Khattar sahab ... Haathi chale Bazaar .. My wife is a professor in Delhi School of … https // t . co / EaVWCujeSA,neutral,joy
44914,@ DesiStupides Sir im your big fan seriously Aapke har ek us interview ko salaam jo aapne bade bade diggajo Ki hav … https // t co / Xq5RY70EiJ,positive,trust
2703,@ WertesFraeulein Long before rock n roll und you can ‘ t Steal my Love von Mando diao ; don ‘ t matter ( Kings of leon );… https // t co / lvSzReM2vB,positive,joy
38884,RT @ N _ Loves _ Angel Cute @ KapilSharmaK9 Angel 😍❤😘💕 With sweet mummy 😚❤ N @ BeingSalmanKhan 😒😏 🌹🌹🌹🌹🌹🌹🌹🌹🌹 Subh Ratri Priyee # NinniKaAngel …,positive,joy
13811,RT @ f5ba5030514d4e3 @ RifatJawaid @ lubnaurifat Haar k bhi congressi ne paise diye so nice of them 😊,neutral,anger
21889,@ Call _ Me _ Wajjo @ OMG _ its _ Khann Aw that is so sweet of you zaror zaror InShaAllah 😍😍,positive,joy
2693,@ NityaTripathi18 But hamari to abhi saadi hi nahi hui to hame to pta hi nahi hai ager mere sath tumari sadi ho jay … https // t . co / bIZfEMxLeW,negative,joy
704,@ GauravGarg888 @ PrashantMavani sir # prashant _ dhawan is kohinoor of study iq he is the best teacher of current aff … https // t co / 1Jdprmlpvi,positive,trust
22781,@ rebelawyer @ sanjayuvacha Cricket World Cup - Jitega to India hi,positive,trust
5044,@ partisanofKhan MashaAllah they bothlook good . Patwari & media walay Jaltay hain Jalkukkar .,positive,trust
17334,@ Amirasalaah74 Happy birthday ya 2mr w rbna ywf2k 💖💖,positive,joy
19102,# ModiSarkar2 # ModiSwearingIn Bharat Maata Ki Jai Vande Maatram स्वस्ति न इन्द्रो वृद्धश्रवाः। O स्वस्ति नः पू… https // t co / 4tsA2qyPSV,neutral,trust
8468,@ kunalkamra88 “ Bhar do jholi meri ya Muhammad ” https // t . co / uLCezQkSwH,positive,trust
2913,@ sambitswaraj No Problem Jeetenge jarur jeetenge but you fight awesome .,positive,trust
40710,RT @ secretive _ soul _ Finally this sequence came out of the flashback and happened in real 😍😌 Dhanyawad Maate Kuch toh accha kaam kiya aa …,positive,joy
5258,@ narendramodi Congratulations on your Huge Win one question Kya aap Pradhanmantri Aaarakshan ke aadhar par bane h … https // t co / LM2ZN7UonV,neutral,trust
18280,@ shammakaira Pura roza kharb kardiya inhony bus esi ki tension me hot I hun leap k bad kiya hoga,negative,sadness
9837,@ PiyushGoyalOffc 3 sal tak intjar karne ke bad bhi hamari mange puri nhi ho saki running staff khush nhi dukhi hai … https // t . co / AIiDM9WF3g,negative,sadness
26442,i ’ m gonna say i probably didn ’ t win the Spider-Man Far From Home contest but i hope whoever wins has the best time … https // t co / Q8UeRENYFb,neutral,sadness
34346,Mein har jagah hu aur kahi bhi nahi Jaagti aankhon mein khwaab ban ke aungi Bheed mein tanhai ban lipat jaungi … https // t co / rCkHiFb8Z7,positive,sadness
23360,RT @ aamir _ khan I'm very sad to hear about Veeruji passing away . I had the pleasure & privilege of working with Veeruji . He was an amazing pe …,positive,sadness
16199,@ PoliceSgr @ JmuKmrPolice Recalling Hazrat Taib sb ’ s kalam @ DrSyedTalhaShah Jo peer ba-khuda hi nahi hai wo pair ha … https // t . co / yD6H66I5IR,neutral,trust
18901,World cup bhi modi hi jitega ? 😢 https // t co / bw91pRVgAV,positive,sadness
20880,@ siasatpk mayoos hony ki zrorat nahi world cup ka aik b match nahi jeety gi team humay kinya aur irland se boht mus … https // t . co / 98FL89N2Jo,neutral,sadness
16700,RT @ ahsanullahk201 Yeah hai mera bharat jaha par hamesha se sachchi ka gala ghoota jata hai https // t co / v2ppUxpvTl,negative,sadness
7308,Today I realized I had a problem when I was feeling bad and I went to Ulta . Not to buy anything . Just to be among s … https // t . co / uNurQavqdW,neutral,sadness
14552,@ tomevanstweets @ jacktheladradio @ Nicola _ Hume Really going to miss you on my 6am journey to work Will be at home t … https // t co / nBAszPZQis,neutral,sadness
27234,RT @ muslimtv My Lord leave me not childless and Thou art the Best of Inheritors # Ramdan https // t . co / Nlyz43eJty,positive,trust
8099,RT @_ Cheezo Them soul ties would leave you heartless ain ’ t no keeping that 💔,neutral,sadness
40083,@ KilledarLipi @ TarekFatah Aapko jaan ke dukh hoga she will be soon free Terrorism ke saath Yaakub memon bhi tha 1… https // t . co / OI81H3XA7x,neutral,sadness
30808,@ awasthis Unko koi nhi dekhna chahta phir bhi ye expectation karte hain ki wo jeet engay rahul gandhi pehle bolna t … https // tco / 0IpAHIxfg9,neutral,anger
35691,RT @ sefihere @ Lilcococadbury7 Yaaaar i have been waiting for you from 3 days where are you khud ko parwah he nahi kisi cheez ki,neutral,sadness
16976,RT @ luca __ macdonald rlly cannot stress enough how important it is to tell people you love and care for them bcos you actual never know whe …,positive,trust
28727,Rahul - Kya Itna buraaaaa hun main maaa https // t . co / 7srjVZodBM,negative,sadness
39155,@ Sweety _ Patel310 @ Ns _ Niya5 @ Ashii _ mishra Yaaaarrrrr akele akele kar rahe ho bola bhi nahi 🙄🙄🙄 Muze nhi pata tha ye krna h 😐😐😐,neutral,sadness
8987,Jab hum kisi ki khushi kharab kartay hain appnay kisi zoom main rehtay howay to wo banda to nikal hi ata hai situat … https // t . co / kXkJg6pvYJ,neutral,sadness
26225,RT @ RaviPra21602197 @ BoltaHindustan Rona band kro Bhai ... Please . Ho Gaya Jo Hona tha ... logo ne chun k bheja hai waha . Unka to khyal rakho .,negative,trust
22522,Sala ye log ke paas ek kohinoor kam tha jo 7 aur le gaye 😭 https // t . co / 9Xl4VR0QiV,negative,sadness
26261,@ sachin _ rt Assalamo Alaikum Bhai Ramadan Mubarak aap ka 1 bhai pareshan hai Eid saamne hai mea apne pita ji ki tabi … https // t co / JrrR46SCpo,neutral,sadness
16922,RT @ N91AKH WHAT THE FUCK !!! LIKE WHAT IN THE ACTUAL FUCK !!!! Dila can ’ t die she can ’ t die there ’ s no Kuzgun without Dila 😭😭😭 tell me it wa …,negative,sadness
10861,RT @ Murshad07 Har shaks faraib nahi dyta Likn Ab aitbar zaib nahi deta ❤️,neutral,sadness
13306,@ Fatimayyy123 @ javeria _ 16 Pak nahi khelta kia matlab is cricket ki waja sy pakistan sy football khtm hota ja rha … https // t co / xtSBD8Bles,neutral,sadness
17127,Raste pe ghunghru bandh ke mujra karega to bhi koi dekhega bhi nahi https // t . co / 5BWr8ckuUA,negative,anger
3441,Fucking with low IQ girl .... Girl Is * fookne se hum kya karenge ... Me 😣😣! Birthday banayenge aur kya ...,neutral,sadness
36279,Nahi ho saky Hat Trick To be really Bhout bury ball thi kabhi bhi asy ball par wicket nahi milty # NZvSL # CWC19,neutral,trust
31541,RT @ bateesi _ andar Agr mein dost se naraaz hoon tou Crush ki kia ghalati Yaaawr 😣 usey bhi 3 din se stalk nahi kiya . Ajeeeebbbbb !😭,neutral,sadness
2254,@ Serrial _ killer @ Baat _ Sunoo @ ThiMoiz I don't know whether it's correct news or wrong but pubg tou mein nai final sai kafi pehlay chor di thi,neutral,sadness
24801,@ Gurmeetramrahim Laut aao ab Sai ji 😢😢 Aaja mahi jaldi tenu akhiyan udeekdiyan 😭😭 Jaldi se yeh mission Pura kr … https // t co / 8lHPLb1Foj,positive,sadness
11205,@ kittu _ kashyap @ Aruntha49703871 @ champ4561 Achha kam ap bta do kya hota h jb hmare logo aisi hi berahami se marte h … https // t . co / F301yAZsat,negative,sadness
13575,Kal ka review padh ke man nhi tha dekhna ka kyu ki arsal ko galiya pad rahi thi par lagta hai jiya ko oad rahi hai … https // t . co / NW7FGiKmqu,neutral,sadness
34160,@ abdulahkatwiter @ Hoorain97 yr serious poucho to dil nai krta bus ye jo log fake fake chor bolty hn inhon ne hi mujy bnaya ha,negative,sadness
19044,RT @ kingkhang121 @ Official _ PIA @ SarfarazA _ 54 Teri kismat main baizat ho k nikalna lkha tha bola tha na ja teri jaga nahi Banti team main …,neutral,anger
19000,@ ImsomethingnU Lekin mjje banana nai ataa 😢😢 https // t co / AYIFGD2R9D,neutral,sadness
12701,@ sardanarohit @ maliniawasthi Sir ager mari bat modi ji tak jay to may kahna chahata hu ki garibo ko rasan danay kay … https // t . co / dcJzfXD9YP,positive,trust
16965,Respected Sir ji ab tak sab recruitment fair hui h please sir make this also fair for candidates because ek mehnat … https // t co / 3LKQpXjvLB,neutral,trust
36966,@ SushmaSwaraj whole india miss you mam .... aap jesa videsh mantri milna sayad muskel hoga .... aasha rakhte hai aap … https // t . co / ibEkYHF8lW,positive,sadness
11978,Old days me . . She - sorry baby ab se nhi hoga esa sorry 😭😭 Me - it's okay 😌 . Nowadays me . . She - sor … https // t . co / 8pUGUtLKxp,neutral,anger
27120,@ anujdhar ye Gandhi bramcharya ka experiment karte the . kitni bar unki ye experment fail huaa . koi batayega .,neutral,anger
42139,Wo bolenge tumhe har baat pe apna ... tum as use unki ek buri aadat samjh lena !! 🙂🙂🙂💔 # shayari # love # pyaar … https // t . co / B09gTaoWxb,neutral,sadness
29521,RT @ livestrongfree hi i ’ m sad so pls don ’ t talk to me unless you ’ re going to buy me coffee or tell me i ’ m pretty bc i ’ m half a second away …,negative,sadness
21734,RT @_ Abu _ Bakar @ GharibTabahDay Yaar ye short course walay boyses ki hardships ko cash kartay hein Aur wo becharay wakaye jaan day rahay h …,positive,sadness
2129,@ LambaAlka Tumhare jaisa besharm ko jab jaanta ne chun tab v hume itna hi dukh hua tha . Visashyak to chuna tha delh … https // t . co / fHRZjR4wwh,neutral,anger
12717,@ dhaikilokatweet Selectors ne bhi vijay Shankar ko ye soch kar choose kiya ki chalna to kisi ko bhi nhi hai number … https // t . co / SSw87lYsQZ,neutral,anger
13812,@ awasthis @ RahulGandhi @ INCIndia Maa aakhir Maa hoti hai Kitna bhi nalayak etc ho to bhi wah Maa ke liye Lal hai .… https // t . co / keUUCuQvsw,negative,trust
24986,Sukhan aate hain uske yaad bahut Dil ko tha uss se ittehaad bahut Jab bhi chalti hai us taraf se hawaaShor karte h … https // t co / yDVFMYVmgJ,positive,sadness
16970,RT @ VipinYa65458369 @ EMofficeUP @ Jagbeer06858772 @ ptshrikant Jaye is garmi me pani k bina yahi h sabka sath aur sabka vikas 8954…,positive,anger
22458,@ INCIndia @ RahulGandhi Rahul ji aapko istifa nahi dena he aap Congress ko jamini tor pe majboot banaye congress ko … https // t co / bcKK67Juox,positive,trust
41744,@ PMOIndia modi ji aap ke dwara chune huye mantri best hi honge fir bhi mai aap ko salah dene ki jurrat kar rahi hui … https // t co / 8jrTS2MsbF,positive,trust
7048,@ ajao _ ayuba We apologize for that difficulty send us a DM let ’ s see the screenshot of the errors you got,neutral,trust
26837,@ isalilsand @ rhea _ shrm Kisi ke lie achha ni bol sakte toh bura bhi mat bolo # YehRishteyHainPyaarKe dis show is best in ITV .,positive,trust
9727,# Askstar Ajinkya Rahane is more effective at no 4 in World cup ? # WorldCup2019,neutral,trust
35130,@ Rajesh _ Satpute @ CNBC _ Awaaz @ hemant _ ghai @ AEHarshada @ pandyapradeep @ sensexbaba Sir Can u tweet it when u recommend As we r in office,neutral,trust
35146,@ 2Sunochanda @ farhan _ saeed @ iiqraaziz Baat sirf romance ki nahi hai baat samajhne ki hai aapas ki understanding k … https // t . co / vIzxCj02QL,neutral,trust
27841,Jai hind desh k sabhi deskbhakto desh hit m kaam krne walo desh k parti har samay tatpar rhne walo ko Shri Nare … https // t . co / Z6BZ3bkDby,positive,trust
26098,Hum bhi chaukidar hain desh Ka Vikas hamara Vikas hum chahte Hain ki Shri Narendra Modi desh ko itni unchai par lek … https // t co / 2uHpV3kH2p,positive,trust
16671,RT @ SuDharmapala Industry Superannuation funds have consistently out performed retail superannuation funds https // t co / YQobxMqxuZ,neutral,trust
13491,@ anshu2797 Absolutely ryt dear Bt the thing is most of the people ’ s mith ki jal pawah kro to it will be gud for us … https // t co / HfvXBKEGaQ,positive,trust
36873,@ Gurmeetramrahim ... Dhan Dhan Satguru Tera Hi Aasra ... Good morning Papa Ji .. please Pita Ji Hum Sab Par Hmesha Apni … https // t . co / 457QcSBGTe,positive,trust
41866,RT @ Mohit _ FC # Repost @ zee5premium Masoomiyat ko sach ki zaroorat nahi hoti kyunki usse saccha kuch aur nahi hota ! # Kaafir premieres 15th …,positive,trust
43801,Come on Skipper . We are with you even if you lost all the matches . Be brave Tum Jeeto Ya Haaro Suno Hamein Tjm Se P … https // t . co / QiqP8UFVIb,neutral,trust
17162,@ RahulGandhi Jai hind jai jawan M bhi congress hun sir Meri tbodi english kamzor hai App chunav lade datt ker … https // t . co / FzrjfGda3N,positive,trust
4084,Sir m aapse milna chahtu or bundelkhand m haar k krn pr aapse chrcha chahta hu M bht chhota hu but m aapko suggest … https // t co / BbvnSPd4Pj,positive,trust
18764,@ HRDMinistry National education policy 2019 ke draft men TET ke Saath Jo bhi alag parkirya hai aur CPD ki Jo baat … https // t . co / nkKQMipiCh,neutral,trust
12545,RT @ SaintRampalJiM Nostradamus prediction about Saint Rampal Ji Maharaj # WorldVictoriousSaint The Great Chyren will honestly reform the h …,neutral,trust
19066,Thank you Sushmaji .. aap hamare piche ek MAA ki tarah khadi . Aapki chya me pardes me surkshit mahsus kiya tarte t … https // t . co / 7gGGOwLfAk,positive,trust
16271,RT @ trehan _ barkha . Dear @ smritiirani we hope you will surely be leading the @ MinistryWCD in a way that we can see sabka saath sabka vikas …,positive,trust
6423,Naa hum bhulte he khuda ko Naa unhko jo hume as allah s gift mile he unko Bhulne wali galiya hum chor aaye piche https // t . co / cKahdt4DWE,neutral,trust
43506,RT @ DebasreeBJP Humbled by the faith shown upon me by Hon . PM Shri @ narendramodi Ji for giving opportunity to serve in his Council of Mini …,positive,trust
40060,@ kofi _ 233 Unity love and togetherness are expensive . Good luck .,positive,joy
21953,Ki ham kisi aaphis me employee hai vaha 8ghanta imandari se kam kare taki har kam sahi roop me teji se aage barhe … https // t co / jYsfh8kHLE,negative,trust
31852,RT @ abbygailconsejo Darren this I promise you that no matter what I'll always got your back . Walang sawa kitang mamahalin at susuporta …,positive,trust
24946,@ ani _ digital @ ANI Humare pm Modi ji ko naman karta hu Aur ishwar se prarthna karta hu ki ve humasaa humare desh k … https // t co / YPu1XtWm3j,neutral,trust
14683,@ myogiadityanath yogi sir plz aap se request hai k aap PM narendar modi k movie ko tax free kar dijiya,positive,trust
