tweet_id,sentiment,text,emotion
14217,negative,@ kanhaiyakumar Agar aap Pakistan me election ladte to zarur Jeet jatay lekin Bharat me desh drohiyon k liye koi jag … https // t . co / ZxaDi8rdnq,anger
27376,negative,Ab Kahan Gae Wo Dallay / Dalliyan Jo Shor Kr Rahy Thy 1 June Ko Pubg Ban Horaha Hy Kisi Ka Acha Bhi Nhi Kara Sakta Ban 🖕 # PUBG # PUBGLOVER,anger
4675,negative,@ chathootti sex university khole to bhi koi puchne wala nahi he inko .. peacefuls he sab maaf ..,sadness
33957,negative,@ utkarsha17 @ Filter _ Koppi @ richaanirudh @ capt _ amarinder poora likh na bhai congress ka Kutta na ghar ka na ghat ka .… https // t . co / s4yIghw0QY,anger
28293,negative,@ AskAnshul Fokat ki rotiya or todega upr s security ki zimedari bhi sarkar ki Life term s acha Hang to death de dete 😡,anger
33685,negative,@ 000 _ jutt @ Bhupesh _ live @ ZAbbasOfficial Missile Attack k kauf sa fr Hath Jod lo ...🙏 Fake Peace Messenger bn jayo 😂😂 Sale fattu kaum ...😂,anger
22815,negative,@ karunanundy 23 Tak to ruk jate result to AA Jane dete sabko PTA agr vipaks hara to wo evm evm jarur bhoukega,anger
27981,negative,@ singharti411 Hogi bhi nahi ... @ ArvindKejriwal Jo congress k khilaaf ladke Delhi ki kursi liya ... jo apne bhaasan me … https // t . co / bTSPTGrKoh,anger
26986,negative,@ its _ revengers Abbey jaa is ko ek or goli maaro lakin sali is baar bachni nai chahiye nhi to goli maarne wale ko mene maar dena,anger
22042,negative,@ TooMuch _ 4Myaa @ Munnaa09 Abe bc toh maraham patti karo photo kyu khich rhi ho ? 🙄,anger
19734,negative,50 for Karunaratne ....🙌 Well played 👏👏👏👏 BC aadhe se jyada Time to inke Naam likhne me lagta hai 🤣🤣😪 # NZvSL # SLvsNZ,joy
1013,negative,@ ObcCarvan @ Hariramkoushik OBC bhikhari nahi hai aur bhenchod bheemte obc naam ka account bnakar apni maa chuda rah … https // t . co / ldNzC4eLKV,anger
28470,negative,@ FarhatullahB @ MumtazBikakPPP Jhoot mat bolen Chairman Bhutto ne hamle ki himayat nahin ki bal k jab usse tv ki kh … https // t . co / dSKqK0N4aI,anger
32869,negative,@ AhmadNa44679790 @ GhulamHusainPK Kanjar ki Aulad wo SC say raha hoi hay . Harami ka bacha,anger
28686,negative,are you even a muslim ? — Ek do Gaali kia De di Log Mazhab pe ajate hain bc https // t co / p3JqXdU0cu,anger
14531,negative,@ chokidarsandhya Indian Muslim ki population me kachra jyada ho gaya he kam to karna he vo kar rahe he . Jo hindu ko … https // t . co / Y6RlOYVIdc,anger
20216,negative,@ MamataBenerjee Hindu Muslim me naam pe card khelnewali aap . Es desh ke sad ho . 2cr . Rohingya ke vote se cm chalan … https // t . co / lI9009t6kJ,anger
20013,negative,@ TheJanbaazKhan @ anjanaomkashyap Yeh Anjana Om Modi hai Yeh khud bol chukki hai Iss se kuch expect karna faaltoo … https // t co / tNYstSmLSa,anger
43748,negative,RT @ manishjoshi2921 @ sanjaynirupam Fir koi patrkar press conference mey nahi aayega bevkuf logo ki batey sunney to tum vesey hi khatam ho …,anger
15913,negative,RT @ MUGHALBILALPTI Chor ka nazriya chori hai bs ... lanat ese nazriye par # PakStandWithPalestine # PAKvWI # Pakistan #جمعة_الوداع https // t . c …,anger
12708,negative,Someone is abusing our country and she is laughing ... yehi gaali congress walo ki di hoti to ab tak behanji ne Hun … https // t . co / BwqlJaQ68X,anger
26182,negative,@ anuragspparty sidhe kyn ni khtey ki gaddar leaders ko fir se inpire kr rhe ho shame on you ...,anger
21527,negative,@ NayakRagini Good Very very Good Mam ye chatu Anchors chatu Media 5 saal ye sirf or sirf Hindu Muslims ki Gandi … https // t co / JSwk4qYDjM,anger
20381,negative,@ KashmirFirst _ @ SnehaNa13439620 😂 I don't want to talk madarsa chaap chutiyas like you . But I will until you stop talking like a pig .,anger
14822,negative,@ abpnewstv Mumtaz begam ka janta daba khoj liya hai uska naam hai Jai shree Ram Jai Shree Ram Jai Shree Ram Jai Sh … https // t . co / PWuZjeo9CG,anger
18579,negative,@ MaizaHamed @ Niazi _ 27 Shame on u .. apna pole dekh lo ziyada log apki es beghairti mei sath ni den gye,anger
28138,negative,@ ZeeNews Ab inka ye nya drama chl gya he ... ye log kuch bhi krle koi sympathy ni milneki ..,anger
28506,negative,@ upasanatigress Bahumat Hindus ki wajah se aur Khush krenge unko 24*7*365 Modi & BJP ko gaali dete hain . . Ab bahut … https // t . co / g3SQtekO1Y,anger
28231,negative,I am seriously telling you one more call ir msg @ HathwayBrdband is I'll switch my connection Shanti se jinhe nahi … https // t co / A9a92ot1P4,anger
27847,negative,RT @ iamsrk _ prk Flop & outdated actor Srk ko koi film mili kya ? Agar kaam nhi mil rha hai to hamari society me aa kar jhaadu laga le Man …,anger
44404,negative,@ Haqeeqat _ TV @ MaryamNSharif Buddhi Maryam Suno Pakistanio ke LANAT tumarre CHOR khandan per = From A Proud Pakistani Pukhtun,anger
11483,negative,@ nidhichoudhari Ek IAS officers ish tarh ke cheap baat krti hai chi sarm kro tum IAS nhi BJP ki chamcha ho,anger
10285,negative,@ AkhileshPSingh @ BJP4India @ RSSorg Tum salo chamcho kabhi nhi sudhroge tum pappu mutra ka sevan karte rho bs,anger
15824,negative,If anyone want to say tum jeeto yah haaro humain tm se pyar hai can suck my dick I won't mind ty,anger
13320,negative,@ KashmirIntel _ @ aarifshaah Sale gandu Kashmir mee 82lakh Muslim haa 35lakh Hindu 7lakh Buddhist sharm karo kargil m … https // t . co / nXC7t9tV1a,anger
33212,negative,@ lakh _ di _ laanat @ nebla _ G @ His __ love0 @ heartkicker __ @ safa _ lg786 @ Samcasm7 @ jaivi3590 Bsdka sochke nhi bolta bc,anger
28081,negative,@ enargkurd You really should consider giving this sorani a pass you heartless karr 🤬,anger
15434,negative,@ Shehzad89 Paki twitter is very very hateful . The only thing we need to realize here k aik galat insan ki islaaah k … https // t . co / 5jxR6UIFdC,anger
28230,negative,@ sanjaymanjrekar Abe o zyada mat bak .... Kya papu new guinea pehle continuously WC jeeti hy kya,anger
13111,negative,RT @ sza Holding ur tongue so exhausting !!! Feeling like YOU NEVER SAY THE RIGHT SHIT ever to ANYONEE AHHHH I DONT GIVE A FUCK ARREST ME I …,anger
18780,negative,@ TalhaGulbargavi @ ZedsDeadb @ RahulEaswar Iss chomu rahul easwar ko noble peace prize chahiyena idhar ka na udhar ka 😂😂,joy
29833,negative,@ sejalkulkarni21 @ RanaAyyub Filhal Poora India Handkerchief apna sweat pooch raha hai Dont worry 45 ° C temperature mubarak ho 😂😂😂😂,joy
10184,negative,RT @ VishalRC007 They Write Paid & Fake Article For Some Money ??? Ye Bachcho Vaali Harkate Na Bachpan Mai Achhi Lagti Hai Esi Cheap Hark …,anger
21618,negative,Scam Iblees k vlogs ko tau kutton ki tarah dekha hoga ? Kuch socha hai k ab chullu bhar pani main doobna hai ? https // t . co / lpj3Il3Iru,anger
28543,negative,@ Saj _ PakPassion Drugs leta he BC dope test karao 4 sal k lye bahir hoga .,anger
15306,negative,@ sneha4India @ Kavita _ Sharma4 Firr is kathue ne kuch nahi dekha bahut hi bada chutia hai jiske pass na ghar na paisa … https // t . co / 2CS5VYcqwg,anger
7129,negative,@ kvicindia @ minmsme @ ChairmanKvic @ girirajsinghbjp @ TexMinIndia @ smritiirani Party se maal leke bech k or apni sale … https // t . co / ZnGPck8vlc,anger
41772,negative,Aap log opposition main ho kisliye ? Tweet karne se Dal sashti ho jayegi ? Itni haar ho chuki hai frvi samajh main … https // t . co / gj9jGKSIS8,anger
10671,negative,@ KapilSibal what is the topic ? ye Modi ne hamara Jhut ki Dukan aur political carrier khatam kr diya ??😀😀😀,anger
19959,negative,RT @ nidaSid _ Fat people want to get slim skinny people want some extra fat Singles want relationship couples are not happy No one is s …,sadness
17237,negative,@ IMO1495 Kya achha keya hai ? destroying ki bina kuch nahi ke Pakistan destroyed my country,anger
6635,negative,@ AzmaBokhari PTI k log jahalat k onchy darjy pe fa ’ iz hain ye just bkwas kerna janty hain practically ye fail ho ch … https // t . co / bLZ3aOljTa,anger
13017,negative,@ omthanvi RSS ne 70 saal lagaye hain iss desh ki murkh janta ( PhD bhi ho saktein hain ) ko itihas aur vigyan padhan … https // t . co / inojDeJHgm,anger
37375,negative,@ MamataOfficial @ NandanNilekani Tu Randi ma chod kutte ki mout marege ..... desh ki gaddar .... tere ma KO kutte chode … https // t . co / MJ7jydDohl,anger
26810,negative,@ shubhamjkale @ TarekFatah Abe harami ke aulad hindu tu hamsha sy terrorist hain aur hum cow ka goost kahaty hain tu … https // t co / Bu3P0EcxvU,anger
33616,negative,# SamsungM40 Samsung m30 Bilkul bhi mat lena warna bahut pastawo ge main pasta raha hummn Camara ek dam bakwass hai … https // t . co / L9p3UdfkYY,anger
27610,negative,@ SabkaaKatega @ Doc _ 07 _ Hum sala kitana bhi Achha tweet Kare Koi sala like tak Nahi dete Aur aise bhs ree ki londiy … https // t . co / 2nD9k1SS3N,anger
38551,negative,@ cap _ 1601 @ QNET _ India Chutiyo ka hai ye business . They lure peace money both .,anger
24516,negative,@ prakashraaj Kyu bai anti modi josh itni jaldi chalaa gayaa so sad give some illogical and chidish statement that suits to you,sadness
16179,negative,@ BJP4India @ narendramodi Sirji Gandhij ko kharid liye ho Kya ??? Kyun uss chutiye ke piche pade ho Nathuram Gods … https // t co / SU5Mduhxtw,anger
43035,negative,@ singhviraj123 @ UmarKhalidJNU Aise tamaache bjp ne pehle bahut khaaye hai Jaise congress hari hai waise bjp bhi ha … https // t co / SCIrCLODaX,anger
3115,negative,@ ImRaNMoDeL9 @ roflfact Aagaya apni jaat pe suar teri bahan ko mera pasand hai teri bv ko tere abba ka teri ma ko te … https // t co / O33y5Zghpa,anger
19164,negative,@ pbhushan1 Accha bsdk Ye bata ye hacking / swapping 3 pradesh ki Vidhan sabha mein kab aur kaise hua ?,anger
38088,negative,@ INCIndia Rassi jal gaya lekin aithan nahi gaya ..@ RahulGandhi ..52 hi Kari ho bjp ke liyeinch inch ki ladai karoge … https // t . co / 0p3I1ADfTd,anger
7568,negative,@ MirwaizKashmir Pure kashmir ko barbard kr dia tum logo ne apno gandi rajniti k lie,anger
16072,negative,@ ndtv Kuch Karo toh BJP walo Ko taklif Nahi Karo toh BJP walo Ko taklif sirf BJP chutiya banaya Kuch kaam toh Kiya … https // t . co / tGLlrKrQNT,anger
15893,negative,EVRYONE SHIT THE FUCK UP https // t . co / RINOmqkPsZ,anger
14393,negative,@ M4 _ MANI @ ARYSabirShakir @ asmashirazi @ kdastgirkhan Tabah o barbad farmay jo Pakistan k khilaaf hai,anger
26631,negative,@ TarekFatah Hr insan cheezo ko us trha sy dekhta h jesa wo andar sy hota h Negtive mind always think negtive,sadness
9837,negative,@ PiyushGoyalOffc 3 sal tak intjar karne ke bad bhi hamari mange puri nhi ho saki running staff khush nhi dukhi hai … https // t . co / AIiDM9WF3g,sadness
18216,negative,@ jigneshmevani80 Kutte sale bol to aise raha he jese Gandhi Raj me ye sab hua hi nahi ... Tab kaha chhipa betha tha … https // t . co / s5aqNajQAO,anger
45071,negative,@ MalikSab _ Thatha mn itni qabliat the tu yahan Tak pohnch gya na unlike some shit mentality people jin ko doaron ki … https // t co / euGazWvW6u,anger
15185,negative,@ maheshtibrewal @ ashishv1094 @ venkatvignu Matlab tum maante ho ki tum 2 takey ke bjp it cell ke dalle ho aur part t … https // t . co / dxZdL1Wuyg,anger
17049,negative,@ jaitushar 5sal me dhara 370 nahi hata sake mahbuba k saath sarkar calaye patharbajo ko chodadiya ram mandir pe dho … https // t . co / 6x0FzCXB6z,anger
14013,negative,@ Vibhay _ @ Atheist _ Krishna Yeh Kya kar Diya Krishna Bhai . Yeh kamra ko gutter me . daal Diya ab kahi gutter ke kicha … https // t . co / ozRY6tjuYp,anger
13242,negative,@ anjanaomkashyap @ mayachauha Media wale agar Congress se kadak sawal karle to woh BJP ke Dalal kehlate hai . Au … https // t . co / 3ImDkNnn41,anger
20026,negative,@ asadowaisi .. Sir 😂 bjp ne darr ka mahol bana diya hai ab lassi k paise dene k darr me kuch muslims ne owner ko mar dala,anger
23119,negative,If i dont have support fuck it ill support myself been like that since a jit ✅,anger
31869,negative,@ DynamicSRK @ SRKpePHD Modi ji wala cloud toh nahi ... fir toh mamla gadbad hai 🤔,anger
28700,negative,Log Mi Realme ki Sale me badu muskil se phone order karte h Ye log Cancel kr dete fr bolte h seller ki traf se kiya … https // t . co / ZZVr8Ulz0i,anger
40952,negative,Had ho gyi koi garib mehnat se kma kar bhi ni kha sakta ... RPF walo ko kus fokat me nhi diya hoga tabhi girftar kiya … https // t . co / sdDWTTJHUF,anger
24284,negative,@ Iprashant10 @ TimesNow @ navikakumar @ thenewshour Arey mai iss Time now ke u turn pe bol raha hu . Saala modi bhakt channel,anger
17715,negative,@ iftikhar _ hyder @ KK _ Khalid _ H Very true . They dont even realise that what nonsense they say . Jhoot kay pawoun nahin … https // t . co / 49GJGA1B9V,anger
14597,negative,@ TechnicalGuruji ho ek naya phone diijiye na Samsung s10 mera pass nhi hai garib admi hai dur yaar laura,sadness
36455,negative,@ INCIndiaLive @ rssurjewala Salary chahiye 2019 ka or Gas chahiye 2014 ka wow kya joke mara he dhanya he prabhu,anger
27273,negative,@ HDFCBank _ Cares Good Morning Good night hi karte raho logon ki complain par bhi dhyan de do thoda Good to tabhi H … https // t co / AmtlAma7BN,trust
42681,negative,Mr . Narender Modi ji aap hum garibo ke liye Jo ye balance h bank m us minimum bank balance ke wajah se hum garib l … https // t . co / ETgRbT49PW,sadness
35143,negative,RT @ ExSiddiqui @ cp4bhai @ MLArajeshSP Ek ye bechara Brahman swasthy karno se joojh Raha aur Modi Ji ise Minister banake marenge Parrikar Ja …,anger
5494,negative,@ CNNnews18 @ MamataOfficial Dekho tumhe me didi nahi bol sakta kyunki tum rakshak nahi rakshashi ki tarah logo ke s … https // t . co / oNyZQgno26,anger
38323,negative,@ ZeeNewsHindi Kejriwal jaise log gadder hai jo bhattacharya mitatey mitatey khud hi limpt hai bratchar mai unko to … https // t co / U1l5OgNW3G,anger
28240,negative,Ye saale itne lalchi h modi aur iska qumba bs kaise central me jaldi se minister bne inka bs chale to ye saale apni … https // t . co / BkDFRjhA7z,anger
28060,negative,@ dhruv _ rathee Abe chutiye tu bhi kal ko namo again t shirt pahan kr modiji ko bhala bura bol skta he ... To sirf mo … https // t . co / nldGP7IjEF,anger
22079,negative,RT @ aapsur @ anjanaomkashyap Ppl saying jab koyi film dekhne nahi gya ( not even bhakts n chowkidars ) to vote daalne kon gya ? ❌,anger
27931,negative,Oyeee butttoooo Sach m zinda hyyyy maaa ki ankhhh ghayb Bhutto b chori KR RHA Hy sala . @ BBhuttoZardari salay kandan … https // t . co / jZHBKWfem3,anger
16787,negative,@ AskAnshul Jab tak fansi ki sajah Nahi milegi tab tak in jaise logo ko Dar nahi baitega Now it's became danger … https // t co / OVlKwwX1W9,fear
28576,negative,Aise ladegi Congress Sangh aur BJP se .... Haar ka sabse bada reason soft hindutva hai .. @ RahulGandhi … https // t . co / OacKMWUN4h,anger
14401,negative,@ AcharyaPramodk Choron ke beham ka koi ilaaz nahin hai jaise khud chorian karte rahe vaise hi dusron ke baare mein … https // t co / Mz93RPChNO,anger
28896,negative,@ Unsakht @ who _ is _ pc Bc mereko untag karo tum dono,anger
25888,negative,@ pankhuripathak Congress party bhi media balo ko dhamki dete the . Khud ka jab government tha .,anger
33746,negative,@ ashutosh83B Sala tum harami log hinduo se itni nafrat kyo rakte ho kisi bi hinsha ko hindu muslman bna ke pesh kar … https // t . co / Y48srYPR8j,anger
14700,negative,RT @ BiggBossTroller Makeup dhone ke baad I can't even recognise some # BBMarathi2 contestants 😂 # ShivaniSurve is exception she is looking …,joy
13138,negative,@ Ajaypat66890469 @ RSSorg Sahi hai .. Tum lalu ke supporter ho .. Tumse aur umid bhi kya kar sakte hai .. Jail me m … https // t . co / vguqWLweUC,anger
1641,negative,RT @ shiv _ shetty1 Never in Bollywood history a star reached No 1 position in 2 years from debut Mpk ( ATBB ) Baaghi ( Semi hit ) PKP ( Averag …,joy
27449,negative,@ RubikaLiyaquat Ye faltu ki behas band kre and dharmik bhawanye badkana band kre . Congress started Hindu Muslims fi … https // t . co / FinLCNcnBk,anger
36815,negative,@ Droom369 @ ApurvBorkar @ Phoxeea @ ICC @ KP24 @ BrettLee _ 58 @ anilkumble1074 tu bhadwa muslim nahi hai . and yes modi is a murderer .,anger
15577,negative,@ sherryontopp @ RahulGandhi @ priyankagandhi @ ahmedpatel @ INCIndia @ IYC @ MahilaCongress Yahi sab bakwas kar ke to harwa diya congress ko,anger
16712,negative,@ kanhaiyakumar Tu Muslim ki gand chat bc hum Hindu Ek h Tere jaise Hindu or ho Jaye to hame Pakistani ki Kya jaru … https // t . co / xTcv4pobkN,anger
43067,negative,@ kida _ ui Don ’ t allow me insult you please 😂 Thanks Uch,joy
14985,negative,@ sudy25 @ Nil _ Nilesh56 @ DesiStupides @ rssurjewala @ INCIndia teri ma dar k lau de jake chat le apne na za yaz baap ki lulli,anger
3176,negative,RT @ RajeshG22441264 @ GauriJalpa @ Rajeshw89110436 Vaha ka hindu Marta pehle hai Dr . maruituis ka hi du Bharat ke hindu jaisa nhe kehta kuch …,anger
44725,negative,@ Lanaschild _ @ assassinjedi @ ghaniamirsohail @ vegetalsays I'm TRYING chutti nahi approve ho rahi (,anger
24568,negative,@ peaceforchange Ghanta ...... Khaane ko Roti nahi Aawam Pareshaan hai Mehangayi se aur Imran aur Fauz ke Generals ne … https // t . co / IbfgRErKav,anger
16700,negative,RT @ ahsanullahk201 Yeah hai mera bharat jaha par hamesha se sachchi ka gala ghoota jata hai https // t co / v2ppUxpvTl,sadness
41206,negative,RT @ PakCricFanatik Imad aisay check kar raha hai jaisay kit khareednay aaya hai https // tco / 8Y9jiF5lYi,joy
11731,negative,@ RahulGandhi @ INCIndia @ BJPLive @ ANI raga ka kehna ki Bjp ka sashan British rule ki tarah haijanta fool nhi aapk … https // t . co / V9tbHk1K79,anger
16560,negative,@ BBCHindi Haryana He nahi Maharashtra or Jharkhand bhi haregi BJP,anger
37374,negative,Kon kahega ki ye anchor hai Baton se to bjp ki dalal lagti hai https // t co / 6bCak9cPjD,anger
28519,negative,@ rssurjewala Abe bhadwe ye gandu nehru desh ka sabse bada gaddar tha sala Buddha ek no ka ayyash tha sala iski vaje … https // t co / 089R20PxNG,anger
20425,negative,RT @ AMajid444 @ SRKsYODDHA _ VAHH RE SRKIANS ISSE KAHETE HAI GALLCHODDA FANBASE BC KHUD KA ACTOR 5 YEARS SE FLOP PE FLOP DIYE JA …,anger
11179,negative,@ sardanarohit Sardana Sarkar ka pithu Sharam kar Insaniyat nhi toh patarkarita chod do I hope bjp wale … https // t co / 8pdQcW6lGn,anger
28135,negative,@ suhailswarraich Shame Shame Shame on you Mr . Sohail kiya tum ALLAH RABB UL IZZAT KAY EHKAMMAT ko maan'nai sai i … https // t . co / hccVlgtVhS,anger
28642,negative,@ sherryontopp Sir now u r not on top jo jaise boyega vaisa hi payega aapne modi ko seema bahar fekne ki baat ki … https // t co / qZ62wz2vzw,anger
32209,negative,SHIT ITS HE i want henry fuck my fucking god so greasy that clock dude should i want henry chewing gum is she so smelly and,anger
35073,negative,Jb ap khud chor ho to kisi Ke Upar chori Ka aarop nahi lagana chahiye sare ghotale tum or tumahre party ne kiye or … https // t co / jl200auDCE,anger
14520,negative,Me nahi manti is election me bjp ki jeet ko me nahi manti modi ko desh ka pm evm me hera feri kar k jeet hasil … https // t co / nwcl080kkg,anger
37562,negative,@ azkhawaja1 Khaled Mahmud ki bowling nai humein ek match harwa diya tha if you remember 🤣,joy
19143,negative,@ Crank _ that _ @ maheshtibrewal @ venkatvignu Mujhko bhi taras aata h uss customer pr jisne randi khane mei teri maa ch … https // t . co / swbEAlH5Ql,anger
34609,negative,@ CBhopali Puri Bhai ji ye chutiya ho gaya hai jabse isko naukri se nikala hai ye BC anti modi hi likhta hai C … https // t . co / pZNpXRpnVA,anger
23985,negative,@ SaadTar53111786 Bete teri gnd me jarur de dunga bhenchod osama ki aulad teri maa ki gnd me roz hafeez azhar dn … https // t co / TTbfcFSkrO,anger
18715,negative,@ Majidhayat786 Chalo # Thar kay bachon kay baad ab Thar ka coala samajh aayaa # harami ko # PPP ki karkardgi ya bad governance @ ImranKhanPTI,anger
28884,negative,@ SxxdSulehri 😂😂 phir logo ko beef kabab kha k food poisoning hogi Or waja ho gay srf tum,joy
21596,negative,RT @ jackshite4 @ Doc _ 07 _ is maa ke love day k mazaar banegi kutte mutenge,anger
7226,negative,@ retheeshraj10 @ Pun _ Starr Teri maa ki Pakistani Saale Fake News teller,anger
20252,negative,@ KRKBoxOffice Mc tumara job hai negativity felana .... bc Kute jaise haal tum logoka ... na ghar ka Na ghat ka,anger
33,negative,@ imabdulhaye @ TarekFatah Tu tere baap @ TarekFatah ke liye jo bola wo kya tha be bhadwe .. tum logo ko usi language m … https // t . co / OWdOmuFldc,anger
17127,negative,Raste pe ghunghru bandh ke mujra karega to bhi koi dekhega bhi nahi https // t . co / 5BWr8ckuUA,sadness
38371,negative,RT @ ak _ ambani don ’ t beg anyone to stay cause someone is waiting to fuck you so you feel it for days and most of all waiting to love you …,sadness
23324,negative,@ LambaAlka Tum aapiye bhokne se baaj nh aaoge ..... Khair tere ko to laat maarke he bhga diya gaya na aap party se .… https // t . co / kLp3qcJWp6,anger
14081,negative,RT @ yogeshk18721141 @ AcharyaPramodk Kash rafel ke alawa 5 salo me rahulji ne in sub chijo ko pucha hota to aj unki ye halat nhi hoti .,anger
14651,negative,RT @ trehan _ barkha The difference is visible Sonia ji thanks only 12 13 crores ... Whereas Modi ji always thanks everyone 130 crore Jant …,anger
4006,negative,Ye h bjp ka bharstachar uttarakhand me Bord lava diya kam khatam hisab puchne se ko jwab nahi deta CM portel par si … https // t . co / 0tKv6k78rF,anger
30436,negative,@ swatisachdeva _ @ SanjayAzadSln Congreess ne Bulaya tha kya 2001 me Kargil ke shahido Ko .. ulta congreessi mc saale k … https // t . co / riXgtoyigL,anger
26510,negative,@ aajtak @ PankajJainClick Jaroor kijiye Aap jaise chor aur bhrust neta iske alawa kuchh kar bhi nahi sakte We fe … https // tco / oTZLx3HBV9,anger
16761,negative,@ PMOIndia @ cmohry koi din essa nahi beeta jisdin electrcity nahi gayi ho Uhbvn se ham bahut paresaan hai Janta ka … https // t co / HdpjMg3eHU,anger
26506,negative,@ vikasbha Buddhi bhrasht hai iss Vikas ki aur aane wale Vikas ki bhi . Matlab logo ka kaatna kaise hai koi in Chu *… https // t . co / 5XPyXm59SZ,anger
5180,negative,@ geonews _ urdu @ shazbkhanzdaGEO Media sirf un cheezo ko uthata hai jis main media ka apna fiada ho apni TRP badhy … https // t co / w6VbKMtXyD,anger
28334,negative,@ DHONIism @ being _ captain _ Yeah . Coz he is the reason India will loose world cup ..!!,anger
1378,negative,@ VinithaShetty Thik thak hai it's nothing great .. honestly was really excited during the first 20mins .. n then petered out,sadness
6989,negative,News Channels Se Bhi Experts Social Media hai kyu ki Evm me ghotala Gadbadi ke Hajaaro Videos Social media me aarah … https // t . co / Y1gXdEA40J,anger
16422,negative,@ ali422600 @ QayyumReports Bayan tu farma diya aik ghulam sooch nay keh iss ka DADA iss ka BABA yeh tha wo tha iss l … https // t co / zkH1gssIs8,anger
17124,negative,@ trivedideepa06 Hinduo ke vote se jit hui bhaisab ki Jada muslim hiteshi mt bno nhi to Agli bar vijendra si … https // t co / yqxDfaSFX0,anger
45020,negative,@ MehtaAatman @ AgentSaffron Vaidik paidaishi mc hote hai dhongi saale I had converted from brahmin to Jainism and it was a great step,anger
25621,negative,@ AbbasNaveed5 @ RamshaOfficial Pakistan 2007 main bhi west indies se pahla match hara tha,sadness
23398,negative,@ AbidSherAli Tun ki kita apni hkomat ch just pasa chori . Ahhh thooouuuu shame on you .,anger
18405,negative,@ peaceforchange @ shzbkhn Hameshaa jung ko promote karty a rahy hein ham log hamary goals ptaa nhi kia hein,anger
14066,negative,@ TendulkarNilam RAJSTHAN MP BENGAL AP 36 GADH PUNJAB KARNATKA TAMILNADU TELANGNA KERLA SARKARO KO JANTA NAKAR CHUKI … https // t co / CvAvamCBMG,anger
15849,negative,@ Raashid60080020 Teri Burkha Randi ammi aur rs20 ki behen ki chut ko jab tak koi fadega nahi tab tak tu mullah ka … https // t . co / tPGcvlLlOZ,anger
5294,negative,RT @ Hritik31822083 @ narendramodi Sir ye # congress logo change kr do Kyoki election harne ke bad ye # Tiranga dustbin me jata h or pta nhi …,anger
28098,negative,@ klrahul11 @ imkuldeep18 @ hardikpandya7 @ yuzi _ chahal Kya woh karke aae h ? Kya ? Achi batting,joy
23735,negative,@_ Mansoor _ Ali @ Dr _ FirdousPTI Owr @_ Mansoor _ Ali ap thory sharam kar laitay ap koo kyaa zarorat thi share karnay kee … https // tco / 8D7g8VcRT6,anger
35792,negative,RT @ Zahrasheikhu2 shadi Se Pahle Valentine Day birthday friend day Shaadi ke Baad Roti day Kapde day Pani Day 😅,joy
23539,negative,@ FiazMahmood @ MaryamNSharif ab asifa ka haq banta hai maryam ki tarh asifa apne baap ko jail https // t co / l69tprFFhJ of luck asifa,anger
