tweet_id,sentiment,text
4097,negative,etne salo me pehli mertaba sapat gerhan . nahe dekha har jeet bahut dekhi . per yeh election dlalo chor jahil desh droh … https // t . co / uqT6wJYsWB
14551,negative,@ TajinderBagga Bharosa rakhiye LeLi gang k outrage PE Chadha ke hi maanega aapko iss stage PE … https // t . co / eLticOhM9y
25595,negative,@ Ajaysharma12349 @ KuttiParul Haan bhai uski maa ne barati hain .. u know this kuttiya is just nothing if u met her maa ..!!
24005,negative,RT @ meh _ Stuffs Salman will continue to fuck your chindiwaali filmfare So best of luck to you too mote bhains https // t co / SItVf1RYub
10716,positive,@ Rubz _ Abu In fact ur pretty eys sallo my heart 😉 hehe 😜
13579,negative,@ OfficialABDfan @ ABdeVilliers17 Abey kutte bhonkna band krde mere status pe varna teri maa chod dunga randwe .
16498,negative,Jis topa ne ankhe band kar li ho or ahinsa ka path pada k desh ki janta ko andhkar mai rakhkar vishwasghaat karaaya … https // t . co / P9hQG5lKXY
13837,positive,RT @ BeingSalmanKhan Thank you my fans for all the love - Apka # Bharat https // t co / hdg02hVtDe
16873,negative,@ AppyJacques @ PJMisaGod Zada mat dekhna eyes kharab ho jaegi Appy the iPhone di 🤣
18733,neutral,@ ashcorpuz23 — tara talk hehe i really want to know you moree hehe !!💛
19331,neutral,Brendon McCullum ke prediction ke mutabik SA chase kar lega but mujhe nahi lagta 89 me 129 inse banne wale hain 🤔
33598,positive,Best pic of @ narendramodi Maa ka dil jaisa duniya ma koi dil ni 😍😍😍 @ BJP4India @ narendramodi _ in @ AmitShahOffice … https // t co / 22T92ylGmf
13039,negative,@ circleofcricket @ ImRaina WTF have u gone mad guys ???? Former Indian cricketer ??? Chutiye Ho kya ... tera baap h wo smjha ???? 😡 😡
41601,neutral,Delhi ke Gandhi Nagar me ki ya gaya Delhi police ki barbarta kya Police lynching nahi kahi jaegi ? @ DCPEastDelhi … https // t co / 5hpOV601T3
16671,neutral,RT @ SuDharmapala Industry Superannuation funds have consistently out performed retail superannuation funds https // t co / YQobxMqxuZ
25956,positive,💕 Good morning my Rockstar papa @ Gurmeetramrahim ji 💕 🌹 Plz bless me more sewa sumiran parmarth ka ba … https // t . co / b3Y2jcTRUN
35487,neutral,@ ECKANKAR 26/05/2019 Re Sri Harold Klemp Yes . We are Soul ; and Soul is a spark of divine love Mahanta . -- Rewar … https // t . co / 9NEiEPtwJq
26863,neutral,@ iffrahK Hahhaha i am feeling the same shit !!! Let ’ s hope God has something better planned for us !!!
20127,neutral,@ NDRawatz itna badi ho gayi ho shaadi nahi hua tmhara koi chooa nai ? 😜😂😂 https // t co / wWgF4hp0Go
30206,neutral,@ SaketRa58868016 @ Avantika _ Pandit Aise nahi hota h sir sare girls nahi hoti and sare boys bhi nahi hote h dhokhebaj
1669,negative,@ DurexIndia @ kkundrra Chutiye ke lodo mna kisne kiya hai orgasm karne ko .... karo na bhosdi walo agar orgasm nhi ho … https // t . co / DeiacLWEGA
13898,neutral,@ Sunni _ Sunshyne Loool thank you Sunshine . See you soon 😉
13804,positive,Kohinoor Super Value Basmati Rice ( 5 KG ) at Just Rs . 450 Super Reviews 👌👌👌 Link https // t . co / 4yCkaHLYQO
21433,neutral,Mewakili Pihak PPDK Lubok China menerima Sumbangan Daripada En Abd Halim Isa Pengurus Ladang Farm's Best Food Indu … https // t co / L4EwwbLHy5
29875,negative,@ UrmileshJ Kuchh nhi hoga media wale aur niche girenge janta ki nazaro me jaise unki chamchagiri aur dalali start h … https // t . co / HW88QXHdZZ
19661,neutral,Sir Modi ji Sir mai jharia Jharkhand ka hu please jharia mai bhut pollution hai sir please jharia ka halat bhut … https // t co / SaKDKhrIHC
26546,negative,@ Dk _ Altaf @ TariqRana _ G _ 55 @ BJP4India @ RahulGandhi @ Aftabnuh @ DeependerSHooda @ MehtabAhmedCong Sale tum log ke wajah … https // t . co / XEmCkof91D
20564,negative,RT @ leeleeb50 I don't giving a flying fuck if you are the POTUS or a janitor NO ONE SHOULD BE ABOVE THE FUCKING LAW ! It is a policy not …
32379,neutral,@ muirtheimhne Oh wow that's fabulous happy birthday Mammy MacCraith 🎂
34589,negative,Every gully cricket gang have a player Jo itni khatrnak galiya deta h ki khud gaali bhi aake us se khde Bsdk kyu m … https // t . co / 9Pmb5UWxvq
19521,negative,@ ani _ digital @ ANI Team be like Pichle chunav ke baad kabhi gaye nahi Iss Baar chunav ke dauran gaye nahi Ab qya lawda reason dhunde
33238,neutral,RT @ HindeOks If it means something for you Fight for it
38877,positive,@ tanisharma077 @ AlokTiwari9335 @ kajal _ jaihind Bahut bahut subhkamnaye hamare nagpur se bhi Jai shree ram
29780,neutral,ICC ko request ki thi humne wo kehtay hain match to lazmi khelna parega aisy 2 points nahi de sakty England ko . https // t . co / 6j3FbPD6in
30717,positive,World Cup FanAnthem by @ Uber _ India has made my day a lot more amazing . Fingers crossed for Team India . Cup toh hume … https // t . co / I46W5a7bjJ
38112,negative,@ DrKumarVishwas @ mlkhattar Bahut hi sarmnak hai ye ghatna ab koi satta ka pujari nhi dekhega sir or na hi koi nari … https // t co / FGMRi15lJk
15341,neutral,RT @ Sudhanshupp Meri geography kamzor hoogi jo usski insta pic ke location ko smjh nhi paaya location mey soulmate likha tha aur pic m …
24432,neutral,@ bainjal Trolling bahut kam ho gayee hai not good for the sake of personality development .
17793,positive,@ pcsarangi @ nitin _ gadkari Sabse Bada Sahasee Sabse Bada Imaandaar Sabse Bada Neeti Sabse Bada Niyat Sabse Bada Vis … https // t . co / gNdk7nnCY9
11637,neutral,@ UngraduateG @ YTCreatorsIndia i am big fan of you o will retweet aapka channel jaldi vapas lane ki kushish karuga m … https // t . co / wTunqJxXPc
3115,negative,@ ImRaNMoDeL9 @ roflfact Aagaya apni jaat pe suar teri bahan ko mera pasand hai teri bv ko tere abba ka teri ma ko te … https // t co / O33y5Zghpa
1637,negative,@ sid _ abu @ GulBukhari @ GandharaRFE Kute ki tarah bhonkta he jb k ye farishta k cousin ka wo attitude he jo tere jese … https // tco / dZfBzdk6a0
24078,neutral,Lol so much maar dhaad and so less dialogue ... Best he ye toh https // t . co / I0CzNJ4SiP
24609,neutral,@ bsindia Ye to Congress k time bhi hua thalike surgical strike bus kisiko bataya nahi tha
41666,positive,@ brexitparty _ uk It ’ s a piddly little room Good job the 5 members of the press brought their equipment to fill it up
34380,positive,RT @ cara1una imagine not have a crush on kehlani some of you bitches must be dumb for not thinking kehlani is the most beautiful woman on …
11746,negative,@ Guru __ 007 maine kisi ko tag nahi kr smjhe app even m enough to handle you guys alone . i don . t need bheed like you … https // t . co / V7rDjvkT6e
29765,negative,@ ashutosh83B Congress ko chor ka nara lagane ki khuch to saza ishwar dainge hi Janta ka jawab hi de pa rahe hain y … https // t co / ljCZK5IUX3
26182,negative,@ anuragspparty sidhe kyn ni khtey ki gaddar leaders ko fir se inpire kr rhe ho shame on you ...
37367,negative,@ sonamJain001 @ RahulGandhi Jo khud chor he uska bap chor thah uski maa chor he ushka jija chor he or tum uski ch … https // t . co / Dqkjqwu5FI
26691,positive,@ mowzrr You ain ’ t ever seen life from this pov stay in yo lane Beverley hills 🖕🏾
4919,negative,@ AkhileshPSingh Abey buddhe tu sala kutta hm 130 cr hindustanio ko jhoota bol rha hai BSDK Hmne bhi modi ko vote d … https // t co / 16NSKkpWnn
26967,neutral,Uske late Message Karne pr Breakup krne pr utar jaogi ... Or Bio me I'm Mature now likhogi Aisa kaisa chlega didi ...!!!
21070,negative,@ SyedMughees2 @ TalatHussain12 @ MaryamNSharif Fauj pr hath to dalo wo phir btaye gi apko ! Fauj ki to badmashi hai is … https // t co / tJqMjbTQaY
40022,neutral,@ khan _ ka _ sher @ Ayee _ Jenai nikal ja beta nai to taryi nikki baji ko be lolomycin ka teekha laga dune ga aour tum free mea mamu ban jyo ge
37191,neutral,@ RadhikaChatter5 @ LambaAlka 130 crore logo ne aatanki Ko nahi chuna na hi BJP Ko chuna hai Tum sirf election jeet … https // t co / 1RdWRpjSwt
15565,neutral,apne sad ka toti chek kiya hai ki usme se bund bund pani nikalta hai ki nahi . https // t . co / OhdqYYCi6X
4937,positive,Chachu ko Shaadi Mubarak Ho ... 🌹 @ imdevprakash @ iA @ SDhawan25 https // t . co / eODlJaEt9X
26663,positive,@ GautamGambhir sir congratulations ! Kamal ki tarah aap humesha iss kichad roopi politics mei khilte rehena . We all love u 👏👏👏 Jai Hind !!
20647,neutral,RT @ Vikas6792 exam pass kiya .. typing bhi di .. multilevel clear ltne k bad bhi IA ko joing nhi di ja rhi ... wo bhi bina kisi reason @ ashokg …
42396,negative,@ ashsmile2k5 @ urbandictionary Now they'll definitely reply bc itna khatarnak dhamki aaj tak kisine nahi diya hoga you're lit 🔥
21191,positive,RT @ khanumarfa Link to the ‘ We The People ’ debate on NDTV on Modi ’ s inclusion pitch Sabka Sath Sabka Vikas Sabka Vishwas Will Modi-2 …
16783,positive,RT @ HubaAsad 💔💔 Tum surkhuru hw gy Tm jw rakho Hosla Jeeto gy Tum sada Hai ye Apni Dua 😢❤ We are with you Captain # PakvWI # WeHaveWeWill …
4605,neutral,Modi ji sapat se phale ek din bi light nhi gyi kyu ki lene the ab pht vohi darma strt ho gya hai or jo kirshan pal … https // t . co / 74HTfmQnc0
12576,negative,@ Gobhiji3 Chai bechna bhi Koi Sharm ki baat nahi Par tere Jaise Kaamchor Nithalley vellley Ko bus Pappu ke 7200… https // t co / y5acVcmFkj
8811,neutral,RT @ pradip103 Today we created history on TV we @ jankibaat1 gave each seat analysis on @ Republic _ Bharat We covered many seats from 5…
6052,positive,RT @ thesushmitasen 🙏 Waheguru ji ka Khalsa Waheguru ji ki Fateh ❤️ Prayed for all of us !!! 😊❤️# goldentemple # amritsar Guru Nanak ’ s 550th B …
20680,positive,@ salman786 _ pak @ TheRealPCB Agla match England ke saat hai jo apna 1st match Jeet kar ah rahai hai try ur luck with … https // t . co / cfh0H5RKXw
28877,negative,@ AlamgirMian Ye n Leag ki bgharti h . Kisi N is P awaz nahi lugai . Ye n walon K kam hn Imran khan ko budnam krny k .… https // t . co / sxra1rE0m9
25934,negative,@ JaandSk @ ReallySwara inhone bss itna paddha h jitne me india ko badnaam kr ske Kyuki inke Baap Daada ki toh sark … https // t co / RqWg1pNS1V
13526,negative,RT @ bxreerah why tf are people still using abbreviations for every word ? “ wt iz ur prlm ” bc kitna time bachate ho in harkaton se
34880,negative,RT @ aakash _ du @_ YogendraYadav Hahaha really ? 😂 @_ YogendraYadav First you go and win one seat in Haryana Vidhan Sabha for your so called @…
14164,positive,@ ObedPwg @ iRahul23 Kabhi to acha socha karo .. band karo ye divide n rule
13388,neutral,RT @ VishalRC007 Salmaniaaaa Roarrrrrrr Only Just 15 Days Left For Biggest BlockBuster Of The Year # Bharat Let's Count Days in Thend Sty …
30575,negative,@ SPatel _ Indian @ Mushir95770465 Ye insan h hi nhi to inse umid bhi insano wali nhi ker sakte ...
44051,positive,Facebook ( DonaldTrump ) I LOVE those who work everyday to keep our country ... https // t . co / 4be1B3ggaA I LOVE those … https // t . co / WvyvAoiXhn
7507,neutral,@ ANI who cares ... Ab modi ji he na ... GDP 0 % bhi hoga to bhakto ko koi fark nahi padega ... bas ... vo aur Lokpriy h … https // t . co / oujRx9B1IO
18475,neutral,' Bajrang Bali ki Jai ' over ' meethhi meethhi baatein ' That's how PM Modi says Balakot airstrike happened … https // t co / t8RsmN23eG
3066,positive,I WISH VERY HAPPY AND BLESSED # RAMADAN OR # RAMJAAN MONTH TO THE ALMOST MOST POWERFUL CELEBRITY TABU G OF BOLLYWOOD … https // t co / x0XhZjmXIz
11096,neutral,@ ZeeNewsHindi Avi tak toh socha v nahi hoga ye toh idea deraha hai BJP ko 😂
15015,positive,@ PMOIndia @ narendramodi Sir pahle se dher sari subhkamnaye hamare pradhanmantri ko ❤️🙏 # motichoorladdocake sir hame … https // t co / mdexkM2B9G
13410,positive,@ aasmakhan _ khan @ nusratyaha Hamare Muslim dharm me jitni ourat ki izzat hai utna Kisi dharm me nahi hai apne modi j … https // t . co / 7Ob3UIN59m
13205,positive,@ anjanaomkashyap Atal ji na jaisa hmara Desh ka gorav bdhaya onki hi raho pr h hmara PM Modi ji .🙏 https // t . co / RxBqAjArAi
28456,negative,@ sohailm08283995 @ SiR2712 @ krishan _ goa @ reema _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar ha … https // t co / kRXutetdZY
629,negative,@ TwitterIndia hadd hoti hai ...!! How can you do the same wrong again ! Make the account of @ TrueIndologyliv live !
39587,positive,RT @ sweetnsaltyy _ Jummah-tul-Wida Mubarak ❤ May this last Friday of Ramadan bring you all peace and prosperity . Ameen . 😇
22661,negative,RT @ JAYKISHANRAJ30 Bhai tum to rehne do . @ RahulGandhi Ka interview To dikhaya nahi . Dont trust @ IndiaToday ever . So keep Quite . @ sambitswa …
21456,positive,@ bluntJaat @ babarazam258 Itna aacha khela ki 4s and 6s hi nahi hai 🤣🤣🤣
31620,positive,Increase vacancies for SSC CGL 2017 Sabka Sath Sabka Vikas # IncreaseSSCCGL2017Vacancies … https // tco / 8g72qqE4hp
29195,positive,Erica ke pankhe 😂😂 asking me Erica ne kya drame kiye ? Chee chee khud ko Erica ke fan bolte ho aur itna bhi nhi pata
39403,negative,@ AliYusufzai5 @ gabeeno Ofcourse . Not haram khor unlike ur leaders . Certified chor
10003,negative,He is He is Haramkhor Aam aadmi Aadmi https // t . co / JBWlJggXFL
8099,neutral,RT @_ Cheezo Them soul ties would leave you heartless ain ’ t no keeping that 💔
5194,neutral,Eid tk 5k yes karao 🌚🌚🌚🌝🌝😂😂 @ shahrukhsyed4 @ iamqfs @ ImlazyAf _ @ Bawkamaal My favourities 😌🌚😂❤
9438,positive,@ VasundharaBJP @ narendramodi Congratulations Hon . P M @ narendramodi aapko jeet ki bhut badhai ho . Congress vale aa … https // t . co / 8Dvf1phy1A
7526,neutral,@ a15sun Then display on Ur ac u r kanjoos so that no one expects 🙄😏😏😂😂
15245,positive,RT @ em _ krane Happy new month This month is going be well funded 💸💸💸 stress free # HappyNewMonth Is even birthday month 🍰😜
19430,negative,@ Mamun034 Kutte harrami aurtien badchallni khud se krti hain ? Harrami unn aurton k saath tere jese khabees iblees b … https // t . co / DEz1Nz0HqR
27968,negative,@ ThatDopedGuy @ bandookdari82 Wait detail me bolta @ ThatDopedGuy r * ndi Ab khush ?😕
4149,negative,@ Being _ Rofique @ RubiSingh7956 @ Shirin _ Afruj @ aanvindersingh Ye mujse dur nhi reh skti warna isko bhav kon dega or footage kha se legi ye
17590,negative,@ aajtak Congress ko jhut bolna bhag jaana aarop lagana aur virodh karna yehi aata hai Isko ticket nai diya elect … https // t co / XmDMxTrR4b
4866,neutral,@ HarsimratBadal _ Thonu v lkh lkh mubarka . .. nd congratulations mam
38761,neutral,@ ssransi19 @ theskindoctor13 @ ashokgehlot51 @ ashokshrivasta6 @ sardanarohit Mera bhi kam exam hai ... All the best bha … https // t . co / eS4ssobeb7
25705,negative,Saale ki sirf shirt phada tho itni halchal ? Jo mathura me Bharat yadav ka jaan li ye darindon ne uska kya ? Chal B … https // t co / HQBQREug4d
29314,neutral,New post in JK3R ~ ricket-Toss & atch Prediction GUYS PAYMENT CLOSED HAI TOSS EVERYDAY FREE SESSION FREE DUNGA AAJ https // t . co / 36jQ9PByAV
1706,negative,@ rzikhan91 Ye to duniya janti h kaun kiski marta h . Dunuya ne bhi sari wars dekhi h . Khujli wale kutte se jyada puc … https // t . co / G77AKSh1p7
12794,positive,RT @ sunita2318 💕 Good morning my Rockstar papa @ Gurmeetramrahim ji 💕 🌵 Plz bless me more sewa sumiran parmarth ka bal 💪 bakhshna j …
22260,negative,@ Irshadbhatti36 Ab kissi se bhi madad talab karo chahay modi se ya daddo Trump se ab kuch nahi hoga kyunki Allah ki … https // t co / cnveePvH2D
9579,negative,@_ whatsinaname Meri bhi yahi aadat hai abba bohot chillate hai ki eye sight kharab ho jaegi and all 😂😂
40341,neutral,@ zainsaeed89 @ ManalJaved5 @ Popcorn _ packet Love u love u khud krte ho 2no apas mai 😂
25365,negative,@ kunalkamra88 Sun be 2 Kodi ke Insaan Maa tera krti hao dhndha baap ka tughe pta hai nhi or paise kmne ke chkr ma … https // t . co / f4cnbnt1DM
11420,positive,@ ravipratap913 @ RahulGandhi Sabke daaman me daag hai koi apne ap ko 100 % sahi bata hi ni sakta jo desh k liy congress ka neta bne
19717,neutral,RT @ balajkh07207582 When Atif aslam said Koi apna nahi gham ke maaray hain hum I feel that . 💔💔
11127,neutral,@ saimasadeek @ Irumkhan40 @ MaryamNSharif Sister buri baat aysa nahi boltey kisi ko chor taber . . . . . . . Pori bat … https // t . co / aALDxHw879
13166,negative,@ devenrolly1987 @ KapilSharmaK9 @ BeingSalmanKhan @ SonyTV Saley tere jaise bhikhari ko kabhi apni aukat nahi bhulni chahiye samjha gadhey 👎😂
19417,neutral,@ rssurjewala Abe bebqoof aadmi ye ek crime hai is par sarkar ko bura kahojati se kyo jod raheitna bada election h … https // t co / MQfv0Ge4gT
26205,positive,RT @ induinsan00 @ Insan _ pmy wishing u a very happy 🎂 birthday many2 happy returns of 🎂 the day msg bless you 4sewa 🎂 simran parmarth ND gud he …
25493,positive,* Ramzan K 26th Din Ki Dua * Ay ALLAH ( j . j ) Is Maah Mai Meri Dour Dhoop Ki Qadar Kar Or Meray Gunah Baksh Day Or M … https // t . co / aZHK6AWzUK
13427,positive,LAUNDA SERIOUS Hai .. the best moments in this show . Come on tweeps let's have a look on this epic web series .… https // t . co / axyfWiOQnQ
14395,neutral,Shyad insta se Shivi ka pic upload wala option hi delete ho gaya ....
26702,positive,Good evening friends ! Have a great evening ! ' Jai bhart jai hind . ' # GoodEvening # IndianArmy https // t . co / csal2xBfUr
27104,positive,@ ShayarImran Bilkul imran bhai aage badhte rehna hai 👍👍 Allah aap ko aur mazbut bana raha haitaake aage aane waali … https // t . co / P6Bx0ZNvls
14232,positive,@ narendramodi very nice sir aap ko hmare trph bhut bhut hardik subhkamnaye or dher sarin bdhaiya bjp and Modi j … https // t . co / M0qUMfTysz
13389,neutral,@ beragya @ ajaysingh0018 Stupid idiot Congress ko hi suicide karneki jarurat he . Mamta ko bhi .
25870,neutral,@ Airtel _ Presence ki nazakat bhari dhamki . Pahle recharge nahi karne par outgoing band karne ki dhamki . Ab number ba … https // t . co / nUOK57GZ07
28357,positive,RT @ WodeZeek Happy birthday to you mahn More fire jamz !!! @ tubase _ @ wodemagic @ TheAudioHounds @ king _ Yeyooo @ TitoBrown _ PBG @ Emzzy _ E @ AinoW …
23377,negative,@ Wasiq _ Khan463 @ FatimaKH _ N Khan ki zat ko gali mat dilwao ya took kr ky apny mama papa ka ahsas kr lo or agr koi … https // t co / tWTYr0iCJk
17479,neutral,@ HMOIndia @ AmitShah Bjp ke 2014 ke wado ke pe baat kiya karo . hindu hindu karne se wade pure nahi hote . ex . 1 ) kaladhan … https // t . co / T8O69I0HqL
5935,neutral,@ donyaaef @ tamkhatch Tweeten gick in i 3 lag s å h ä r grovt HAHA dog av garv
9428,positive,@ hamada _ najar Hello Good morning I would love for the Follow back USA # FreePalestine https // t co / wnRBsomast
7493,positive,@ TheRealPCB Tum jeeto ya haro hamy tum sy payar hy Good luck for next match
18788,neutral,@ narendramodi Ajj kal Tatkal ke naam par ralilway janta ko dhokha de rahi hai pata nahi kaun ticket nikal leta hai … https // t co / rWSfW6xk8t
17973,positive,@ deshbhakt _ tdb @ rahulroushan @ desimojito @ RanaAyyub Huh ! It ’ s ok ! We are not worried ! We know we are in for good th … https // t . co / IYhR5oAsSj
23754,negative,@ kunalkamra88 @ Swamy39 Tu to Gaya Kunal the gaandu kaamra tune galat panga le Liya Abhi Ab teri swami band banayenge
6649,negative,@ PRITI96442059 Priti agar itna problem hai toh khud ka show launch karo Satyamev Jayate Ko 5 saal ho Gaya aur tum … https // t co / sCEPd3urLO
30183,positive,@ aajtak @ narendramodi modi par pura Hindustan ek ummid lagakar baitha hai bhagwan modi ko itni himmat de ki ye har … https // t . co / mRNfzt3gL1
9524,neutral,My energy for Eid Safayi 😪 https // t co / OZrNTJGmgB
28523,positive,S cute U good looking B loves people I loves to laugh n smile Y is loved by everyone A hot Itta pyaar to mer … https // t co / gt9xoMWRcf
14228,negative,Alam mo ba na sobrang blessed ko to have u ? Hahahaha like the fuck buti na lang dumating ka sa buhay ko !!! You're o … https // t . co / XuCr6z8DIG
23650,positive,@ GaurangBhardwa1 unhe kam samajhne ki bhool mat karna International community me koi dainik jagran nahi padta … https // t co / KxCLIFbAfB
1657,negative,@ AnwarLodhi Make sure he becomes the bootlicker exactly the way you are . Allah apke saye se is masoom ko bachaye . Ameen !
22793,positive,@ ImranPTI313 Pehly tolo per bolo fake he ye nekta ne khod wazahat ki he deko
1531,negative,@ ZeeNews Ds is d news for u ?😳 chhutka to nahin na karva diye hain ka 🤪 public kahtinhsin ganja buri cheej hai .
12961,neutral,RT @ Bollyydotcom Mithoon - Arijit Reunite For Kabir Singh's New Song Tujhe Kitna Chahne Lage ! # TujheKitnaChahneLage # KabirSingh # Mithoon #…
12750,neutral,@ SRKian _ Baadshah @ aadisrkian1 @ sinchan21029371 @ SRKs _ Wolverine Bechare wo zakham nhi bhole 40% screens pe Housefull 😂😂😂
30997,positive,@ NitishKumar Aapki jeet hamari hm sab ki jeet hai sir ramjaan ke mahine me khuda ne sun li thanks Aapka chahne w … https // t co / F32XE5dQoU
2799,negative,BC log murder karke bahar ghoom the hain government waalon Free # AvadheshDubey
16510,positive,@ EmptySkulll Ok tell me about your civilization kitne advance hain ap log ? Your superpowers 🤣😏🤪
25195,negative,@ theskindoctor13 @ sherryontopp Itna sadma laga h bechare ko sahara dene wala bhi koi nahi hai Amrinder Singh se l … https // t . co / RJtzTr4sTU
21337,positive,@ Tejasvi _ Surya Congratulations Sabka Saath + Sabka Vikas + Sabka Visvash ( Trust )= Victorious Bharat ( India ) https // t . co / yda4RqEOXE
34533,negative,@ sadhavi @ RubikaLiyaquat ye duniya ka woh kayar tha jisne nehru ki ayasi ke liye desh baant diya ...... noton pe hi a … https // t . co / pb3UERyrJj
34794,neutral,@ iamsrk sir Aaj apaka byju's wali ad dekhi apako ek Tamil film me villain wale look me dekhna chahate hai .. my god hit hogi film ..
